Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
02/09/2020;Érythrée;319;0;284;0.00;89.03;10.97
02/09/2020;Espagne;479554;29194;150376;6.09;31.36;62.55
02/09/2020;Éthiopie;54409;846;19903;1.55;36.58;61.86
02/09/2020;Finlande;8161;336;7350;4.12;90.06;5.82
02/09/2020;Fidji;29;2;23;6.90;79.31;13.79
02/09/2020;Îles Féroé;411;0;374;0.00;91.00;9.00
02/09/2020;France;333324;30686;86963;9.21;26.09;64.70
02/09/2020;Gabon;8538;53;7335;0.62;85.91;13.47
02/09/2020;Royaume-Uni;340634;41602;1502;12.21;0.44;87.35
02/09/2020;Grenade;24;0;24;0.00;100.00;0.00
02/09/2020;Géorgie;1548;19;1270;1.23;82.04;16.73
02/09/2020;Guyane Française;9209;61;8739;0.66;94.90;4.44
02/09/2020;Ghana;44658;276;43478;0.62;97.36;2.02
02/09/2020;Gibraltar;295;0;240;0.00;81.36;18.64
02/09/2020;Gambie;3067;97;1032;3.16;33.65;63.19
02/09/2020;Guinée;9479;59;8527;0.62;89.96;9.42
02/09/2020;Guadeloupe;1363;18;336;1.32;24.65;74.03
02/09/2020;Guinée Équatoriale;4965;83;4390;1.67;88.42;9.91
02/09/2020;Grèce;10757;273;1347;2.54;12.52;84.94
02/09/2020;Guatemala;75644;2790;63688;3.69;84.19;12.12
02/09/2020;Guinée-Bissau;2205;34;1127;1.54;51.11;47.35
02/09/2020;Guyana;1382;41;779;2.97;56.37;40.67
02/09/2020;Hong-Kong;4830;93;4401;1.93;91.12;6.96
02/09/2020;Honduras;62526;1924;11147;3.08;17.83;79.10
02/09/2020;Croatie;10725;191;7968;1.78;74.29;23.93
02/09/2020;Haïti;8258;206;5870;2.49;71.08;26.42
02/09/2020;Hongrie;6622;619;3903;9.35;58.94;31.71
02/09/2020;Indonésie;180646;7616;129971;4.22;71.95;23.84
02/09/2020;Irlande;29114;1777;23364;6.10;80.25;13.65
02/09/2020;Israël;121464;969;97234;0.80;80.05;19.15
02/09/2020;Inde;3853406;67376;2970492;1.75;77.09;21.16
02/09/2020;Iraq;242284;7201;184205;2.97;76.03;21.00
02/09/2020;Iran;378752;21797;326801;5.75;86.28;7.96
02/09/2020;Islande;2121;10;2016;0.47;95.05;4.48
02/09/2020;Italie;271515;35497;208201;13.07;76.68;10.25
02/09/2020;Jamaïque;2683;24;898;0.89;33.47;65.64
02/09/2020;Jordanie;2161;15;1610;0.69;74.50;24.80
02/09/2020;Japon;69619;1327;58108;1.91;83.47;14.63
02/09/2020;Kenya;34493;581;20211;1.68;58.59;39.72
02/09/2020;Kirghizistan;44036;1059;38895;2.40;88.33;9.27
02/09/2020;Cambodge;274;0;271;0.00;98.91;1.09
02/09/2020;Comores;427;7;410;1.64;96.02;2.34
02/09/2020;Saint-Kitts-et-Nevis;17;0;17;0.00;100.00;0.00
02/09/2020;Corée du Sud;20644;329;15529;1.59;75.22;23.18
02/09/2020;Koweït;86478;535;78209;0.62;90.44;8.94
02/09/2020;Kazakhstan;106032;1588;97371;1.50;91.83;6.67
02/09/2020;Laos;22;0;21;0.00;95.45;4.55
02/09/2020;Liban;18375;177;5195;0.96;28.27;70.76
02/09/2020;Sainte-Lucie;26;0;26;0.00;100.00;0.00
02/09/2020;Liechtenstein;107;1;97;0.93;90.65;8.41
02/09/2020;Sri Lanka;3101;12;2883;0.39;92.97;6.64
